City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
232,Ribeira Grande,PT,38.5167,-28.7,64.8,100,100,8.05,mist
233,Huangchuan,CN,32.1272,115.0394,66.96,71,100,2.57,overcast clouds
234,Novyy Svit,UA,47.8059,38.0211,56.93,92,100,20.36,overcast clouds
235,Ardakan,IR,32.31,54.0175,69.85,35,8,11.68,clear sky
236,Nyurba,RU,63.2842,118.3319,48.24,81,97,2.93,overcast clouds
237,Camana,PE,-16.6228,-72.7111,66.76,81,98,8.32,overcast clouds
238,Lasa,IT,46.6166,10.7002,65.28,69,83,5.41,broken clouds
239,Sabang,ID,5.8933,95.3214,83.5,77,100,21.92,overcast clouds
240,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,92,75,12.66,broken clouds
241,Longyearbyen,SJ,78.2186,15.6401,37.24,70,75,11.5,broken clouds
242,Kokopo,PG,-4.352,152.2633,78.6,78,65,3.33,broken clouds
243,Robertson,US,36.5167,-86.8667,92.39,55,38,8.61,scattered clouds
244,Saldanha,ZA,-33.0117,17.9442,51.85,79,50,7.72,scattered clouds
245,Goksun,TR,38.021,36.4973,52.92,45,5,2.17,clear sky
246,Paratinga,BR,-12.6906,-43.1842,79.16,36,8,3.89,clear sky
247,Issenye,TZ,-2.0,34.3333,64.35,87,100,1.83,overcast clouds
248,Seoul,KR,37.5683,126.9778,61.99,80,75,4.61,mist
249,Alegrete,BR,-29.7831,-55.7919,56.05,76,89,3.49,overcast clouds
250,Dunmanway,IE,51.7167,-9.1167,56.32,95,100,8.99,overcast clouds
251,Port Macquarie,AU,-31.4333,152.9167,58.89,94,100,3.44,light rain
252,Dilla,ET,6.41,38.31,63.46,82,90,3.76,overcast clouds
253,Avera,US,33.194,-82.5271,85.55,36,100,10.56,overcast clouds
254,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,65.84,55,12,5.7,few clouds
255,Moose Factory,CA,51.2585,-80.6094,44.6,53,100,11.5,overcast clouds
256,Puerto Del Rosario,ES,28.5004,-13.8627,69.55,73,20,18.41,few clouds
257,Astoria,US,46.1879,-123.8313,67.71,67,0,10.36,clear sky
258,Nikolskoye,RU,59.7035,30.7861,46.29,61,4,7.83,clear sky
259,Tsiroanomandidy,MG,-18.7667,46.0333,60.78,69,6,1.81,clear sky
260,Vanimo,PG,-2.6741,141.3028,77.09,88,100,4.94,overcast clouds
261,Morant Bay,JM,17.8815,-76.4093,93.7,70,36,11.97,scattered clouds
262,Zhezkazgan,KZ,47.8043,67.7144,51.82,55,100,19.08,overcast clouds
263,Camacha,PT,33.0833,-16.3333,63.82,72,40,12.66,scattered clouds
264,Lompoc,US,34.6391,-120.4579,76.78,61,0,18.41,clear sky
265,Vila Velha,BR,-20.3297,-40.2925,73.35,68,20,9.22,few clouds
266,Isilkul,RU,54.9109,71.2728,59.49,75,77,8.52,broken clouds
267,Khatanga,RU,71.9667,102.5,35.2,98,99,4.81,overcast clouds
268,Shajapur,IN,23.4333,76.2667,82.4,58,0,21.81,clear sky
269,Pundaguitan,PH,6.3711,126.1689,82.51,71,100,3.4,overcast clouds
270,Tual,ID,-5.6667,132.75,82.36,76,57,17.34,broken clouds
271,Umm Kaddadah,SD,13.6017,26.6876,84.88,13,100,11.63,overcast clouds
272,Ostrovnoy,RU,68.0531,39.5131,29.53,76,14,7.38,few clouds
273,Jalu,LY,29.0331,21.5482,69.62,42,0,13.73,clear sky
274,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,82.17,66,70,1.28,broken clouds
275,Alofi,NU,-19.0595,-169.9187,76.89,88,40,4.61,scattered clouds
276,Tuatapere,NZ,-46.1333,167.6833,47.91,89,99,12.77,light rain
277,Solnechnyy,RU,50.7214,136.6319,38.48,97,100,8.05,overcast clouds
278,Solwezi,ZM,-12.1688,26.3894,61.25,69,50,3.96,scattered clouds
279,Pacific Grove,US,36.6177,-121.9166,71.28,79,0,11.01,clear sky
280,Popondetta,PG,-8.7537,148.2534,73.29,87,43,2.93,scattered clouds
281,Honiara,SB,-9.4333,159.95,80.92,78,12,2.44,few clouds
282,Taltal,CL,-25.4,-70.4833,63.9,71,23,3.29,few clouds
283,Deputatskiy,RU,69.3,139.9,31.21,98,100,0.69,overcast clouds
284,Harper,LR,4.375,-7.7169,77.86,82,100,9.8,light rain
285,Torbay,CA,47.6666,-52.7314,63.37,34,20,6.91,few clouds
286,Tilichiki,RU,60.4667,166.1,35.98,86,100,2.82,overcast clouds
287,Baruun-Urt,MN,46.6806,113.2792,58.17,28,65,5.12,broken clouds
288,Bengkulu,ID,-3.8004,102.2655,75.56,91,86,4.54,overcast clouds
289,Sobolevo,RU,54.4299,31.8996,45.1,98,100,9.44,light rain
290,Namatanai,PG,-3.6667,152.4333,80.62,75,49,7.76,scattered clouds
291,Valdivia,CL,-39.8142,-73.2459,57.29,92,100,6.89,moderate rain
292,Antofagasta,CL,-23.65,-70.4,61.88,75,74,7.81,broken clouds
293,Kovdor,RU,67.5662,30.4758,37.76,87,100,8.57,light rain
294,Koslan,RU,63.4564,48.8989,30.11,90,100,9.33,light snow
295,Inirida,CO,3.8653,-67.9239,77.47,93,86,2.39,overcast clouds
296,Merritt Island,US,28.5392,-80.672,89.69,72,0,18.41,clear sky
297,Airai,TL,-8.9266,125.4092,57.56,90,43,3.62,scattered clouds
298,Chake Chake,TZ,-5.2459,39.7666,76.84,85,93,8.88,overcast clouds
299,Kyaikkami,MM,16.08,97.5675,82.08,82,100,15.55,moderate rain
300,Paita,PE,-5.0892,-81.1144,71.08,74,20,14.79,few clouds
301,Rocha,UY,-34.4833,-54.3333,53.98,79,81,5.82,broken clouds
302,Saint-Georges,GD,12.0564,-61.7485,85.68,62,20,18.41,few clouds
303,Oga,IT,46.4631,10.347,58.8,74,100,4.54,overcast clouds
304,Godda,IN,24.8333,87.2167,82.6,72,21,5.19,few clouds
305,Madimba,TZ,-10.4,40.3333,72.57,88,47,5.91,scattered clouds
306,Hamilton,US,39.1834,-84.5333,77.23,94,75,5.75,thunderstorm
307,Biskamzha,RU,53.4497,89.5272,52.57,68,3,5.21,clear sky
308,Linxia,CN,35.6003,103.2064,50.72,68,28,3.47,scattered clouds
309,Sibolga,ID,1.7427,98.7792,76.66,90,100,2.26,overcast clouds
310,Nelson Bay,AU,-32.7167,152.15,61.0,97,83,6.6,broken clouds
311,Lundazi,ZM,-12.2929,33.1782,62.58,85,14,8.32,few clouds
312,Roald,NO,62.5833,6.1333,53.33,87,100,4.61,overcast clouds
313,Wewak,PG,-3.5534,143.6268,77.38,89,87,6.38,overcast clouds
314,Naron,ES,43.5167,-8.1528,72.45,66,99,2.28,light rain
315,Bandarbeyla,SO,9.4942,50.8122,79.9,87,100,19.57,overcast clouds
316,Ostersund,SE,63.1792,14.6357,55.85,44,100,4.61,overcast clouds
